# name	category	version	executable
PSMFeatureExtractor	Identification Processing	1.0.0	bin/PSMFeatureExtractor
ParquetConverter	File Converter	1.0.0	bin/ParquetConverter
PeakPickerHiRes	Spectrum processing: Centroiding	1.0.0	bin/PeakPickerHiRes
PeakPickerIM	Spectrum processing: Centroiding	1.0.0	bin/PeakPickerIM
PeakPickerIterative	Spectrum processing: Centroiding	1.0.0	bin/PeakPickerIterative
PeptideIndexer	Identification Processing	1.0.0	bin/PeptideIndexer
PercolatorAdapter	Identification Processing	1.0.0	bin/PercolatorAdapter
PhosphoScoring	Identification Processing	1.0.0	bin/PhosphoScoring
ProteinInference	Identification Processing	1.0.0	bin/ProteinInference
ProteinQuantifier	Quantitation	1.0.0	bin/ProteinQuantifier
QCCalculator	Quality Control	1.0.0	bin/QCCalculator
QCEmbedder	Quality Control	1.0.0	bin/QCEmbedder
QCExporter	Quality Control	1.0.0	bin/QCExporter
QCExtractor	Quality Control	1.0.0	bin/QCExtractor
QCImporter	Quality Control	1.0.0	bin/QCImporter
QCMerger	Quality Control	1.0.0	bin/QCMerger
QCShrinker	Quality Control	1.0.0	bin/QCShrinker
QualityControl	Quality Control	1.0.0	bin/QualityControl
RNADigestor	RNA	1.0.0	bin/RNADigestor
RNAMassCalculator	RNA	1.0.0	bin/RNAMassCalculator
RNPxlXICFilter	Cross-Linking	1.0.0	bin/RNPxlXICFilter
Resampler	Spectrum processing: Misc	1.0.0	bin/Resampler
SageAdapter	Identification of Proteins and Peptides (SearchEngines)	1.0.0	bin/SageAdapter
SeedListGenerator	Quantitation	1.0.0	bin/SeedListGenerator
SemanticValidator	[for Developers]	1.0.0	bin/SemanticValidator
SequenceCoverageCalculator	Identification Processing	1.0.0	bin/SequenceCoverageCalculator
SimpleSearchEngine	Identification of Proteins and Peptides (SearchEngines)	1.0.0	bin/SimpleSearchEngine
SiriusExport	Metabolite Identification	1.0.0	bin/SiriusExport
SpectraFilterNLargest	Spectrum Processing: Peak Smoothing and Normalization	1.0.0	bin/SpectraFilterNLargest
SpectraFilterNormalizer	Spectrum Processing: Peak Smoothing and Normalization	1.0.0	bin/SpectraFilterNormalizer
SpectraFilterThresholdMower	Spectrum Processing: Peak Smoothing and Normalization	1.0.0	bin/SpectraFilterThresholdMower
SpectraFilterWindowMower	Spectrum Processing: Peak Smoothing and Normalization	1.0.0	bin/SpectraFilterWindowMower
SpectraMerger	Spectrum processing: Misc	1.0.0	bin/SpectraMerger
SpectraSTSearchAdapter	Identification of Proteins and Peptides (SearchEngines)	1.0.0	bin/SpectraSTSearchAdapter
StaticModification	Identification Processing	1.0.0	bin/StaticModification
TICCalculator	Misc	1.0.0	bin/TICCalculator
TextExporter	File Converter	1.0.0	bin/TextExporter
UniPEFF	File Converter	1.0.0	bin/UniPEFF
XFDR	Cross-Linking	1.0.0	bin/XFDR
XMLValidator	[for Developers]	1.0.0	bin/XMLValidator
